Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Devin Ebanks,206.0,97.0,West Virginia University,1989.0,63.0,711.0,82.0,213.0,52.0,72.0,8.0,36.0,74.0,177.0,51.0,71.0,122.0,24.0,18.0,12.0,35.0,56.0,224.0
Devin Gray,201.0,108.0,Clemson University,1972.0,33.0,222.0,31.0,89.0,23.0,39.0,0.0,0.0,31.0,89.0,23.0,30.0,53.0,9.0,13.0,3.0,14.0,44.0,85.0
Devin Green,201.0,95.0,Hampton University,1982.0,27.0,135.0,6.0,28.0,13.0,21.0,0.0,2.0,6.0,26.0,10.0,14.0,24.0,7.0,3.0,0.0,5.0,13.0,25.0
Devin Harris,190.0,87.0,University of Wisconsin,1983.0,981.0,25828.0,3831.0,8777.0,3132.0,3906.0,805.0,2478.0,3026.0,6299.0,311.0,1943.0,2254.0,4467.0,1076.0,183.0,1918.0,2233.0,11599.0
Devyn Marble,198.0,90.0,University of Iowa,1992.0,44.0,457.0,35.0,115.0,15.0,40.0,12.0,54.0,23.0,61.0,11.0,58.0,69.0,29.0,22.0,3.0,16.0,39.0,97.0
Dewayne Dedmon,213.0,111.0,University of Southern California,1989.0,255.0,3660.0,427.0,764.0,198.0,297.0,0.0,1.0,427.0,763.0,390.0,882.0,1272.0,76.0,89.0,201.0,180.0,562.0,1052.0
Dexter Boney,193.0,83.0,"University of Nevada, Las Vegas",1970.0,8.0,48.0,6.0,19.0,6.0,8.0,1.0,6.0,5.0,13.0,3.0,3.0,6.0,0.0,2.0,1.0,1.0,3.0,19.0
Dexter Cambridge,201.0,101.0,University of Texas at Austin,1970.0,53.0,885.0,151.0,312.0,68.0,99.0,0.0,4.0,151.0,308.0,88.0,79.0,167.0,58.0,24.0,6.0,63.0,128.0,370.0
Dexter Pittman,211.0,139.0,University of Texas at Austin,1988.0,61.0,379.0,53.0,120.0,18.0,36.0,0.0,0.0,53.0,120.0,45.0,56.0,101.0,9.0,8.0,8.0,25.0,91.0,124.0
Dexter Shouse,188.0,90.0,University of South Alabama,1963.0,3.0,18.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0
Deyonta Davis,211.0,107.0,Michigan State University,1996.0,36.0,238.0,24.0,47.0,10.0,18.0,0.0,0.0,24.0,47.0,20.0,40.0,60.0,2.0,3.0,17.0,8.0,40.0,58.0
Diamond Stone,211.0,115.0,University of Maryland,1997.0,7.0,24.0,3.0,13.0,4.0,4.0,0.0,0.0,3.0,13.0,1.0,5.0,6.0,0.0,0.0,1.0,2.0,5.0,10.0
Diante Garrett,190.0,83.0,Southern Illinois University,1947.0,90.0,1197.0,117.0,314.0,15.0,22.0,39.0,111.0,78.0,203.0,16.0,96.0,112.0,151.0,51.0,5.0,91.0,80.0,288.0
Dickey Simpkins,206.0,112.0,Providence College,1972.0,367.0,5634.0,543.0,1213.0,432.0,711.0,2.0,11.0,541.0,1202.0,450.0,814.0,1264.0,338.0,100.0,65.0,400.0,647.0,1520.0
Didier Ilunga-Mbenga,198.0,97.0,,1984.0,276.0,1892.0,219.0,467.0,59.0,101.0,0.0,2.0,219.0,465.0,157.0,266.0,423.0,51.0,44.0,167.0,99.0,356.0,497.0
Dijon Thompson,201.0,88.0,"University of California, Los Angeles",1983.0,16.0,93.0,17.0,40.0,7.0,8.0,4.0,13.0,13.0,27.0,7.0,12.0,19.0,3.0,3.0,1.0,3.0,8.0,45.0
Dikembe Mutombo*,218.0,111.0,Georgetown University,1966.0,1271.0,39382.0,4438.0,8601.0,3602.0,5251.0,0.0,2.0,4438.0,8599.0,4115.0,9259.0,13374.0,1316.0,523.0,3492.0,2317.0,3587.0,12478.0
Dino Radja,211.0,102.0,,1967.0,224.0,7308.0,1516.0,3052.0,701.0,954.0,0.0,3.0,1516.0,3049.0,497.0,1386.0,1883.0,356.0,201.0,282.0,495.0,745.0,3733.0
Dion Glover,196.0,103.0,Georgia Institute of Technology,1978.0,363.0,7775.0,1144.0,2811.0,551.0,726.0,188.0,586.0,956.0,2225.0,271.0,892.0,1163.0,585.0,283.0,84.0,472.0,610.0,3027.0
Dion Waiters,193.0,102.0,Syracuse University,1991.0,415.0,11780.0,2079.0,5069.0,748.0,1076.0,472.0,1400.0,1607.0,3669.0,190.0,894.0,1084.0,1072.0,424.0,110.0,724.0,814.0,5378.0
Dionte Christmas,196.0,92.0,Temple University,1986.0,31.0,198.0,22.0,62.0,18.0,24.0,9.0,31.0,13.0,31.0,13.0,25.0,38.0,8.0,2.0,3.0,6.0,19.0,71.0
Dirk Minniefield,190.0,81.0,University of Kentucky,1961.0,368.0,6471.0,819.0,1753.0,279.0,383.0,40.0,147.0,779.0,1606.0,161.0,442.0,603.0,1421.0,327.0,21.0,608.0,779.0,1957.0
Dirk Nowitzki,213.0,111.0,,1978.0,1394.0,48673.0,10688.0,22600.0,7104.0,8081.0,1780.0,4668.0,8908.0,17932.0,1441.0,9452.0,10893.0,3496.0,1158.0,1218.0,2425.0,3379.0,30260.0
Doc Rivers,193.0,83.0,Marquette University,1961.0,846.0,22618.0,3153.0,7177.0,2231.0,2850.0,404.0,1216.0,2749.0,5961.0,577.0,1937.0,2514.0,4737.0,1501.0,342.0,1537.0,2524.0,8941.0
Domantas Sabonis,211.0,108.0,Gonzaga University,1996.0,81.0,1632.0,192.0,481.0,44.0,67.0,51.0,159.0,141.0,322.0,45.0,242.0,287.0,82.0,39.0,32.0,83.0,200.0,479.0
Dominic McGuire,206.0,99.0,"California State University, Fresno",1985.0,419.0,6042.0,431.0,1035.0,163.0,260.0,3.0,16.0,428.0,1019.0,386.0,940.0,1326.0,453.0,172.0,199.0,271.0,575.0,1028.0
Dominic Pressley,188.0,77.0,Boston College,1964.0,26.0,248.0,18.0,62.0,10.0,18.0,0.0,4.0,18.0,58.0,6.0,24.0,30.0,52.0,8.0,0.0,22.0,22.0,46.0
Dominique Jones,203.0,99.0,Mississippi State University,1975.0,80.0,741.0,83.0,227.0,78.0,107.0,2.0,21.0,81.0,206.0,33.0,81.0,114.0,144.0,29.0,10.0,76.0,64.0,246.0
Dominique Wilkins*,201.0,90.0,University of Georgia,1960.0,985.0,35090.0,9376.0,20528.0,5861.0,7127.0,794.0,2504.0,8582.0,18024.0,2652.0,3938.0,6590.0,2591.0,1269.0,522.0,2446.0,1780.0,25407.0
Don Buse,193.0,86.0,University of Evansville,1950.0,65.0,939.0,82.0,203.0,23.0,30.0,31.0,87.0,51.0,116.0,21.0,40.0,61.0,203.0,38.0,1.0,45.0,75.0,218.0
Don Collins,198.0,81.0,Illinois State University,1951.0,17.0,148.0,22.0,62.0,13.0,16.0,0.0,0.0,22.0,62.0,21.0,13.0,34.0,9.0,9.0,5.0,13.0,16.0,57.0
Don MacLean,208.0,106.0,"University of California, Los Angeles",1970.0,319.0,6679.0,1320.0,2902.0,794.0,1038.0,56.0,197.0,1264.0,2705.0,356.0,854.0,1210.0,404.0,118.0,51.0,398.0,598.0,3490.0
Don Reid,203.0,113.0,Georgetown University,1973.0,441.0,5872.0,643.0,1211.0,312.0,472.0,0.0,1.0,643.0,1210.0,468.0,803.0,1271.0,154.0,206.0,313.0,276.0,1253.0,1598.0
Donald Hodge,213.0,104.0,Temple University,1969.0,264.0,3616.0,471.0,1081.0,254.0,357.0,4.0,14.0,467.0,1067.0,315.0,517.0,832.0,195.0,85.0,103.0,238.0,557.0,1200.0
Donald Royal,203.0,95.0,University of Notre Dame,1966.0,597.0,9623.0,1051.0,2251.0,1356.0,1752.0,0.0,16.0,1051.0,2235.0,624.0,1002.0,1626.0,542.0,277.0,111.0,600.0,1003.0,3458.0
Donald Sloan,190.0,92.0,Texas A&M University,1988.0,274.0,4681.0,555.0,1374.0,236.0,311.0,107.0,360.0,448.0,1014.0,75.0,475.0,550.0,794.0,101.0,11.0,293.0,247.0,1453.0
Donald Whiteside,178.0,72.0,Northern Illinois University,1969.0,30.0,275.0,19.0,57.0,11.0,17.0,12.0,37.0,7.0,20.0,2.0,11.0,13.0,37.0,11.0,0.0,18.0,23.0,61.0
Donatas Motiejunas,213.0,100.0,,1990.0,248.0,4553.0,728.0,1552.0,249.0,415.0,121.0,404.0,607.0,1148.0,296.0,653.0,949.0,270.0,118.0,81.0,284.0,532.0,1826.0
